smiles,c_t,c_t_cea,isp,isp_cea,cstar,cstar_cea,Al,EMs,HTPB,NH4CLO4
O=[N+]([O-])/N=[N+](\[O-])c1nonc1/[N+]([O-])=N/[N+](=O)[O-],3745.1953,3781.3,278.68546,278.5626911314984,1641.0067,1668.2,15.90816365,39.99998788,12.00018483,32.09166363
O=[N+]([O-])/N=[N+](\[O-])c1nonc1[N+](=O)[O-],3690.7095,3732.9,276.2288,276.0142711518858,1636.7352,1655.3,15.7922552,39.99817005,12.00007967,32.20949508
O=[N+]([O-])/N=[N+](\[O-])c1nonc1/N=[N+](\[O-])c1nonc1/[N+]([O-])=N/[N+](=O)[O-],3596.009,3633.8,275.97214,276.56472986748213,1641.1456,1665,13.4402528,39.99943243,12.00003076,34.56028402
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,3260.293,3271.3,267.5904,267.3598369011213,1614.4944,1607.4,16.59133872,26.76288016,12.00001822,44.6457629
O=[N+]([O-])/N=[N+](\[O-])c1nonc1/N=N/c1nonc1/[N+]([O-])=N/[N+](=O)[O-],3546.5208,3590.2,275.60687,276.3302752293578,1641.3734,1667.1,12.34793248,39.99817224,12.00014293,35.65375235
O=[N+]([O-])/N=[N+](\[O-])c1nonc1/N=[N+](\[O-])c1nonc1[N+](=O)[O-],3543.2527,3575.8,274.02518,274.525993883792,1637.5704,1653.9,13.21456803,39.9807263,12.00047797,34.8042277
O=[N+]([O-])/N=[N+](\[O-])c1nonc1/N=N/c1nonc1[N+](=O)[O-],3482.131,3519.1,273.5356,273.80224260958204,1636.6921,1654.6,11.88946837,39.99885869,12.00002201,36.11165093
O=[N+]([O-])/N=c1\[nH]nnn1N[N+](=O)[O-],3472.3928,3467.9,272.38995,271.9571865443425,1633.041,1646.2,12.40111918,39.98838284,12.00012969,35.61036829
COn1nn[nH]/c1=N\[N+](=O)[O-],3262.2522,3329.8,271.7108,271.03975535168195,1626.3368,1629.3,16.06354748,21.95137359,12.00000354,49.98507539
O=[N+]([O-])c1no[n+]([O-])c1/N=N/c1c([N+](=O)[O-])no[n+]1[O-],3528.0125,3552.9,271.55078,271.92660550458714,1631.9142,1637,13.86702191,39.99669636,12.0003331,34.13594863
O=[N+]([O-])c1no[n+]([O-])c1-c1c([N+](=O)[O-])no[n+]1[O-],3514.444,3566.1,270.79114,271.03975535168195,1626.1895,1630.7,14.3243167,39.99966758,12.00006087,33.67595485
O=[N+]([O-])NC(N[N+](=O)[O-])C(N[N+](=O)[O-])N[N+](=O)[O-],3418.9412,3410,270.13568,270.84607543323136,1626.0597,1626.9,17.24475857,39.99779926,12.00037746,30.7570647
O=[N+]([O-])c1nc([N+](=O)[O-])n(/N=N/n2nc([N+](=O)[O-])nc2[N+](=O)[O-])n1,3480.4692,3496.2,269.9862,270.7135575942915,1629.2103,1635.7,12.36957852,39.99988665,12.00002154,35.63051329
O=[N+]([O-])c1no[n+]([O-])c1-c1no[n+]([O-])c1[N+](=O)[O-],3514.7947,3548.9,269.9532,270.0815494393476,1625.957,1625,14.39165356,39.99894577,12.00010589,33.60929478
O=[N+]([O-])C(CNn1cnnc1Nn1cnnn1)([N+](=O)[O-])[N+](=O)[O-],3278.808,3321.2,269.6825,269.2150866462793,1619.3329,1618.2,15.80252608,20.95436892,12.00000671,51.24309829
C[C@]1(OO)C[C@](C)(OO)OO1,3133.9292,3177.3,269.51782,269.67380224260955,1611.9702,1622.6,17.00133504,17.9481836,12.00000591,53.05047545
O=[N+]([O-])Nc1nonc1/N=[N+](/[O-])c1nonc1N[N+](=O)[O-],3399.908,3396.1,269.49747,269.49031600407744,1625.5177,1624.3,14.01674475,33.07253741,12.00002712,40.91069071
O=[N+]([O-])Nc1nonc1N[N+](=O)[O-],3409.4954,3426.4,269.45764,269.89806320081544,1627.1755,1627,14.46093794,39.32860633,12.0000049,34.21045083
NN1/C(=N\[N+](=O)[O-])NC2C1N/C(=N/[N+](=O)[O-])N2N,3208.784,3247.2,269.40536,268.69520897043833,1617.3091,1617.2,15.74782587,18.83283794,12.00000733,53.41932885
O=[N+]([O-])n1ccc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1,3410.5706,3449.7,269.35547,269.66360856269114,1620.8197,1622.7,14.92505152,37.68522385,12.00003469,35.38968995
[N-]=[N+]=Nc1no[n+]([O-])c1-c1c([N+](=O)[O-])no[n+]1[O-],3401.9329,3422.8,269.35187,269.2252803261977,1624.7352,1622,13.62409783,33.31282949,12.00000605,41.06306664
O=[N+]([O-])Nn1nnnc1-c1nnnn1N[N+](=O)[O-],3343.0618,3367,269.33813,269.2150866462793,1627.6095,1629.5,12.6518894,32.12550592,12.00000142,43.22260326
[N-]=[N+]=Nc1no[n+]([O-])c1-c1no[n+]([O-])c1[N+](=O)[O-],3400.6155,3428.2,269.15955,269.5310907237513,1625.1771,1623.8,13.6256314,33.31231197,12.0000349,41.06202174
O=[N+]([O-])c1nnn(C([N+](=O)[O-])[N+](=O)[O-])n1,3535.218,3540.2,269.12488,269.65341488277267,1621.5564,1622.3,15.04703494,39.99544811,12.00021933,32.95729762
O=[N+]([O-])C(CNc1nonc1/N=[N+](/[O-])c1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3346.821,3376.4,268.97647,268.82772680937813,1622.059,1619.3,14.74776072,34.31824261,12.00001642,38.93398025
O=[N+]([O-])c1nn([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c12,3491.6787,3510.7,268.93158,269.34760448521916,1621.383,1620.9,14.29207208,38.16425939,12.00000084,35.54366769
O=[N+]([O-])c1cn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc1[N+](=O)[O-],3549.071,3576.2,268.7637,269.38837920489294,1616.0138,1617.9,15.97342183,39.98667727,12.00037708,32.03952382
O=[N+]([O-])Nc1c(-c2no[n+]([O-])c2N[N+](=O)[O-])no[n+]1[O-],3419.2002,3430.5,268.72656,269.07237512742097,1622.932,1619.2,14.851523,35.68741225,12.00001347,37.46105128
O=[N+]([O-])N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1nc(-c2nonc2N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])n[nH]1,3413.3152,3427.7,268.6826,268.6544342507645,1617.1652,1616.8,15.05974929,36.85929818,12.00000447,36.08094806
O=[N+]([O-])C(CNc1nonc1-c1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3328.7205,3372.9,268.6052,268.6748216106014,1618.7904,1616.4,15.35000992,30.56421256,12.00000471,42.08577281
O=[N+]([O-])C(CNc1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3353.4766,3385.7,268.60205,268.56269113149847,1619.0448,1617.8,15.17018638,36.39104074,12.00000078,36.43877211
O=[N+]([O-])C(CNc1nnnn1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3377.3862,3402.4,268.57196,268.7461773700306,1620.1155,1617.3,15.60966005,33.73039051,12.00003052,38.65991892
O=[N+]([O-])Nc1c([N+](=O)[O-])c(N[N+](=O)[O-])c([N+](=O)[O-])c(N[N+](=O)[O-])c1[N+](=O)[O-],3408.6697,3443.4,268.56357,268.41997961264013,1615.0247,1612.8,15.80648582,33.31646245,12.00003584,38.8770159
O=[N+]([O-])c1cc([N+](=O)[O-])n(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1,3551.111,3563.5,268.55786,268.68501529051986,1614.349,1613.8,15.9750879,39.99769223,12.0001928,32.02702706
O=[N+]([O-])C(c1nnn[nH]1)([N+](=O)[O-])[N+](=O)[O-],3533.5247,3528,268.51813,268.9500509683996,1620.3558,1618.3,15.0418924,39.99999807,12.00003152,32.95807802
Cn1c(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])noc1=O,3374.73,3408.1,268.4978,268.3384301732926,1612.6073,1614,15.66816044,33.80990235,12.00001909,38.52191811
O=[N+]([O-])Nc1no[n+]([O-])c1-c1c(N[N+](=O)[O-])no[n+]1[O-],3419.7083,3420,268.4569,268.48114169215086,1621.6395,1615.8,14.8517773,35.68709452,12.00000766,37.46112052
O=[N+]([O-])c1nn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c(-c2c([N+](=O)[O-])c([N+](=O)[O-])nn2C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],3579.2673,3609.5,268.45416,268.70540265035675,1612.6879,1613.1,16.09141529,39.99884065,12.00323167,31.90651239
NN1/C(=C\[N+](=O)[O-])NC2C1N/C(=C/[N+](=O)[O-])N2N,3170.0295,3197,268.44366,267.63506625891944,1613.7365,1610.7,15.85288217,15.49759768,12.00002389,56.64949626
O=[N+]([O-])C(CNn1cnnn1)([N+](=O)[O-])[N+](=O)[O-],3333.2952,3343.4,268.3512,268.39959225280325,1618.0573,1613.9,15.83119815,28.84390066,12.00000352,43.32489767
O=[N+]([O-])Nc1nc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n[nH]1,3480.9158,3480.1,268.14304,268.48114169215086,1616.7158,1616.4,14.98577792,39.99907912,12.00013283,33.01501013
O=[N+]([O-])Nn1nc([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2N[N+](=O)[O-],3396.8733,3418.1,268.08948,268.29765545361875,1617.5745,1615,14.79988157,32.91084899,12.00001407,40.28925537
O=[N+]([O-])OCn1nnc([N+](=O)[O-])n1,3416.6316,3422.3,268.08823,267.90010193679916,1616.6234,1611.2,15.70468344,31.90827545,12.00002743,40.38701368
